Date,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT
2022-01-18,597.25,586.75,590.0,596.5,31188,-1
2022-01-19,610.5,596.25,596.5,607.25,44174,-1
2022-01-20,609.75,602.5,606.0,606.5,26113,-1
2022-01-21,610.5,600.0,603.25,608.5,41600,-1
2022-01-24,611.25,600.75,608.5,610.75,38992,-1
2022-01-25,620.75,608.0,608.75,614.25,61313,-1
2022-01-26,620.0,609.75,613.0,619.25,38065,-1
2022-01-27,619.25,613.25,617.75,616.0,34005,-1
2022-01-28,627.0,614.0,614.25,626.25,46275,-1
2022-01-31,634.25,617.5,626.0,619.25,56551,-1
2022-02-01,631.25,618.5,619.25,628.0,40728,-1
2022-02-02,633.75,612.25,627.0,617.25,61085,-1
2022-02-03,618.75,606.0,617.25,613.0,57221,-1
2022-02-04,619.75,612.0,615.0,618.5,42647,-1
2022-02-07,634.5,622.75,627.0,633.75,54328,-1
2022-02-08,634.0,625.25,634.0,630.25,43546,-1
2022-02-09,641.0,628.5,630.5,640.5,70912,-1
2022-02-10,654.75,631.75,638.75,635.0,79224,-1
2022-02-11,650.5,631.0,634.25,645.25,51680,-1
2022-02-14,651.0,637.0,644.75,650.5,42478,-1
2022-02-15,649.75,631.25,649.5,633.75,50615,-1
2022-02-16,642.0,631.75,633.5,640.75,36968,-1
2022-02-17,645.5,636.75,639.0,645.0,46679,-1
2022-02-18,651.0,641.75,643.25,647.0,53046,-1
2022-02-22,667.75,650.0,650.0,665.25,78558,-1
2022-02-23,675.5,660.75,665.0,674.5,74447,-1
2022-02-24,709.5,672.25,674.0,678.5,159983,-1
2022-02-25,688.5,643.5,680.0,644.0,98804,-1
2022-02-28,679.0,660.25,673.0,677.0,84229,-1
2022-03-01,712.0,677.25,678.5,707.75,121219,-1
2022-03-02,723.75,683.75,707.25,693.75,131385,-1
2022-03-03,723.5,688.5,697.0,703.5,142492,-1
2022-03-04,738.5,700.25,710.0,721.25,139128,-1
2022-03-07,747.0,709.5,735.0,727.25,82309,-1
2022-03-08,731.0,701.5,726.75,726.0,96820,-1
2022-03-09,729.25,705.25,726.0,708.25,72499,-1
2022-03-10,731.5,703.25,707.25,726.0,84168,-1
2022-03-11,729.75,713.0,721.75,728.75,58841,-1
2022-03-14,733.0,710.25,728.0,718.5,48413,-1
2022-03-15,724.25,704.0,715.5,723.25,54240,-1
2022-03-16,722.5,693.25,721.75,697.0,50655,-1
2022-03-17,722.0,695.5,696.5,718.75,42040,-1
2022-03-18,719.0,704.5,718.0,712.5,45033,-1
2022-03-21,736.0,714.0,715.5,728.25,55670,-1
2022-03-22,734.0,719.5,727.75,729.75,69234,-1
2022-03-23,744.75,726.0,729.0,734.75,66388,-1
2022-03-24,739.5,725.25,734.5,728.5,61585,-1
2022-03-25,735.0,723.5,728.5,734.75,41204,-1
2022-03-28,731.0,721.25,729.25,730.5,55980,-1
2022-03-29,729.0,695.5,727.5,708.5,102763,-1
2022-03-30,729.75,708.5,708.5,720.0,62579,-1
2022-03-31,753.0,714.75,720.0,733.0,142791,-1
2022-04-01,736.5,718.25,733.0,721.75,127304,-1
2022-04-04,740.5,722.75,724.25,739.25,92320,-1
2022-04-05,755.5,738.25,739.25,748.25,111969,-1
2022-04-06,750.75,739.25,747.75,747.0,92467,-1
2022-04-07,751.0,740.5,746.0,750.25,144673,-1
2022-04-08,764.0,745.5,749.0,760.75,155533,-1
2022-04-11,770.75,755.5,759.0,758.75,158908,-1
2022-04-12,773.5,759.5,760.0,772.5,153025,-1
2022-04-13,779.5,763.5,771.25,778.0,184615,-1
2022-04-14,786.0,775.25,777.75,783.75,114603,-1
